CharacterA,CharacterB,Frequencies
关羽,张飞,127
关羽,张苞,8
关羽,关兴,14
关羽,关平,58
关羽,卢植,1
关羽,公孙瓒,12
关羽,刘禅,3
关羽,诸葛瞻,2
关羽,诸葛亮,145
关羽,刘备,346
关羽,诸葛瑾,13
关羽,马腾,5
关羽,曹操,185
关羽,姜维,3
关羽,孙权,57
关羽,糜芳,24
关羽,糜竺,28
关羽,庞德公,1
关羽,马谡,4
关羽,祝融,1
关羽,刘协,1
关羽,董卓,13
关羽,貂蝉,1
关羽,吕布,26
关羽,刘表,15
关羽,蔡氏,1
关羽,蔡瑁,5
关羽,蒯越,1
关羽,张宝,5
关羽,张梁,2
关羽,袁绍,58
关羽,袁术,19
关羽,袁谭,4
关羽,袁熙,3
关羽,袁尚,3
关羽,吴国太,1
关羽,周瑜,21
关羽,曹嵩,1
关羽,夏侯渊,5
关羽,曹爽,2
关羽,荀彧,10
关羽,司马师,2
关羽,司马昭,1
关羽,曹仁,33
关羽,曹纯,2
关羽,曹丕,10
关羽,孙坚,3
关羽,马超,12
关羽,徐庶,6
关羽,魏延,16
关羽,赵云,61
关羽,黄忠,41
关羽,庞统,4
关羽,法正,9
关羽,蒋琬,3
关羽,马良,11
关羽,陆逊,11
关羽,高顺,7
关羽,陈宫,4
关羽,张辽,53
关羽,黄祖,1
关羽,文聘,1
关羽,张角,4
关羽,丁奉,6
关羽,徐盛,5
关羽,鲁肃,31
关羽,张昭,8
关羽,蒋钦,9
关羽,太史慈,5
关羽,周泰,4
关羽,凌统,4
关羽,吕蒙,44
关羽,甘宁,7
关羽,黄盖,7
关羽,韩当,8
关羽,程普,4
关羽,张绣,1
关羽,曹真,1
关羽,郭嘉,4
关羽,徐晃,30
关羽,乐进,8
关羽,张郃,5
关羽,许褚,13
关羽,荀攸,4
关羽,贾诩,3
关羽,司马懿,6
关羽,程昱,11
关羽,于禁,34
关羽,钟会,1
关羽,庞德,38
关羽,许靖,6
关羽,周仓,24
关羽,李严,2
关羽,廖化,29
关羽,马岱,4
关羽,简雍,22
关羽,陈震,3
关羽,杨仪,1
关羽,费祎,2
关羽,黄皓,1
关羽,夏侯惇,26
关羽,李典,10
关羽,曹洪,8
关羽,曹彰,1
关羽,吕虔,2
关羽,臧霸,3
关羽,刘晔,2
关羽,蒋济,1
关羽,华歆,1
关羽,满宠,14
关羽,董昭,1
关羽,王朗,2
关羽,郭淮,1
关羽,曹休,1
关羽,朱灵,1
关羽,路昭,1
关羽,韩浩,1
关羽,夏侯尚,3
关羽,诸葛诞,3
关羽,杨修,2
关羽,陈矫,2
关羽,潘璋,11
关羽,朱然,5
关羽,马忠,9
关羽,虞翻,2
关羽,顾雍,3
关羽,刘璋,5
关羽,张鲁,3
关羽,韩馥,1
关羽,刘岱,8
关羽,王匡,1
关羽,程远志,4
关羽,邓茂,3
关羽,管亥,3
关羽,刘辟,17
关羽,龚都,13
关羽,裴元绍,6
关羽,高升,1
关羽,张闿,1
关羽,韩暹,4
关羽,杨奉,4
关羽,陶谦,5
关羽,孔融,7
关羽,刘度,2
关羽,赵范,1
关羽,韩玄,15
关羽,董承,7
关羽,王子服,1
关羽,李儒,1
关羽,田丰,7
关羽,沮授,6
关羽,审配,5
关羽,郭图,5
关羽,逢纪,1
关羽,郭汜,1
关羽,颜良,30
关羽,文丑,24
关羽,潘凤,3
关羽,俞涉,3
关羽,华雄,6
关羽,李肃,1
关羽,张任,1
关羽,高览,6
关羽,纪灵,8
关羽,辛评,1
关羽,陈登,12
关羽,吕翔,1
关羽,吕旷,1
关羽,张南,3
关羽,张勋,1
关羽,郝萌,1
关羽,侯成,1
关羽,宋宪,3
关羽,魏续,3
关羽,张允,1
关羽,刘焉,4
关羽,刘琦,15
关羽,刘繇,2
关羽,张世平,1
关羽,张峻,1
关羽,张松,3
关羽,张武,1
关羽,张绍,2
关羽,张翼,10
关羽,张达,3
张飞,张苞,3
张飞,关兴,1
张飞,关平,9
张飞,卢植,1
张飞,公孙瓒,8
张飞,刘禅,3
张飞,诸葛瞻,1
张飞,诸葛亮,112
张飞,刘备,266
张飞,诸葛瑾,2
张飞,马腾,1
张飞,曹操,89
张飞,孙权,13
张飞,糜芳,17
张飞,糜竺,30
张飞,庞德公,1
张飞,马谡,3
张飞,祝融,1
张飞,刘协,1
张飞,董卓,15
张飞,貂蝉,1
张飞,吕布,44
张飞,刘表,9
张飞,蔡氏,1
张飞,蔡瑁,5
张飞,蒯越,1
张飞,张宝,4
张飞,张梁,2
张飞,袁绍,20
张飞,袁术,15
张飞,袁谭,2
张飞,袁熙,2
张飞,袁尚,2
张飞,周瑜,7
张飞,曹嵩,1
张飞,夏侯渊,9
张飞,荀彧,3
张飞,曹仁,11
张飞,曹丕,9
张飞,曹植,3
张飞,孙坚,2
张飞,马超,46
张飞,徐庶,5
张飞,魏延,42
张飞,赵云,89
张飞,黄忠,28
张飞,庞统,9
张飞,法正,12
张飞,蒋琬,3
张飞,马良,9
张飞,孟获,1
张飞,高顺,11
张飞,陈宫,10
张飞,张辽,23
张飞,黄祖,2
张飞,文聘,5
张飞,张角,1
张飞,丁奉,1
张飞,徐盛,1
张飞,鲁肃,6
张飞,太史慈,2
张飞,周泰,1
张飞,凌统,1
张飞,吕蒙,3
张飞,甘宁,2
张飞,黄盖,2
张飞,韩当,2
张飞,程普,3
张飞,曹真,1
张飞,郭嘉,1
张飞,徐晃,7
张飞,乐进,7
张飞,张郃,44
张飞,许褚,23
张飞,贾诩,1
张飞,司马懿,3
张飞,程昱,4
张飞,于禁,9
张飞,庞德,1
张飞,许靖,3
张飞,周仓,7
张飞,李严,2
张飞,廖化,5
张飞,马岱,11
张飞,简雍,15
张飞,陈震,1
张飞,费祎,1
张飞,夏侯惇,17
张飞,李典,10
张飞,曹洪,9
张飞,曹彰,6
张飞,臧霸,1
张飞,刘晔,2
张飞,董昭,1
张飞,朱灵,3
张飞,路昭,3
张飞,韩浩,2
张飞,杨修,6
张飞,陈矫,1
张飞,潘璋,2
张飞,马忠,2
张飞,张纮,1
张飞,刘璋,9
张飞,张鲁,10
张飞,韩馥,1
张飞,刘岱,14
张飞,王匡,1
张飞,程远志,4
张飞,邓茂,3
张飞,管亥,2
张飞,刘辟,9
张飞,龚都,8
张飞,裴元绍,3
张飞,高升,1
张飞,张闿,1
张飞,陶谦,3
张飞,孔融,4
张飞,刘度,5
张飞,赵范,6
张飞,金旋,9
张飞,韩玄,2
张飞,董承,1
张飞,李儒,1
张飞,审配,4
张飞,郭图,3
张飞,逢纪,1
张飞,郭汜,1
张飞,颜良,9
张飞,文丑,6
张飞,潘凤,1
张飞,俞涉,1
张飞,华雄,1
张飞,李肃,1
张飞,张任,19
张飞,高览,4
张飞,纪灵,10
张飞,辛评,1
张飞,陈登,11
张飞,韩胤,2
张飞,吕翔,2
张飞,吕旷,2
张飞,张南,1
张飞,雷薄,3
张飞,郝萌,3
张飞,侯成,1
张飞,宋宪,3
张飞,魏续,3
张飞,张允,2
张飞,刘焉,4
张飞,刘琦,11
张飞,刘繇,1
张飞,张世平,1
张飞,张卫,2
张飞,张松,1
张飞,张武,2
张飞,张绍,1
张飞,张翼,23
张飞,张达,5
张苞,关兴,68
张苞,诸葛亮,39
张苞,刘备,4
张苞,诸葛瑾,1
张苞,曹操,1
张苞,姜维,17
张苞,孙权,6
张苞,糜芳,3
张苞,马谡,1
张苞,董卓,1
张苞,吕布,1
张苞,刘表,1
张苞,袁绍,1
张苞,袁术,1
张苞,孙策,1
张苞,夏侯楙,11
张苞,曹丕,3
张苞,马超,2
张苞,魏延,14
张苞,赵云,12
张苞,黄忠,5
张苞,法正,1
张苞,马良,1
张苞,孟获,2
张苞,沙摩柯,4
张苞,陆逊,5
张苞,张辽,1
张苞,丁奉,3
张苞,徐盛,5
张苞,鲁肃,1
张苞,张昭,1
张苞,周泰,6
张苞,凌统,1
张苞,吕蒙,3
张苞,甘宁,2
张苞,韩当,6
张苞,曹真,10
张苞,乐进,1
张苞,张郃,7
张苞,司马懿,10
张苞,程昱,1
张苞,李严,3
张苞,廖化,3
张苞,马岱,16
张苞,陈震,1
张苞,杨仪,2
张苞,王朗,2
张苞,郭淮,11
张苞,孙礼,5
张苞,杨阜,1
张苞,韩暨,1
张苞,潘璋,5
张苞,朱然,4
张苞,孙桓,8
张苞,马忠,8
张苞,夏恂,2
张苞,周平,2
张苞,顾雍,1
张苞,张鲁,1
张苞,审配,1
张苞,张南,3
张苞,张嶷,7
张苞,张绍,1
张苞,张翼,5
张苞,张虎,2
张苞,张达,4
关兴,诸葛亮,52
关兴,刘备,8
关兴,诸葛瑾,2
关兴,曹操,4
关兴,刘胜,1
关兴,姜维,25
关兴,孙权,7
关兴,糜芳,6
关兴,马谡,1
关兴,董卓,3
关兴,王允,1
关兴,吕布,5
