CharacterA,CharacterB,Frequencies
唐僧,孙悟空,2824
唐僧,猪悟能,1425
唐僧,铁扇公主,18
唐僧,沙悟净,930
唐僧,白龙马,4
唐僧,太宗,64
唐僧,魏征,2
唐僧,陈萼,1
唐僧,光蕊,17
唐僧,萧瑀,4
唐僧,樵夫,6
唐僧,渔人,8
唐僧,张氏,1
唐僧,刘洪,3
唐僧,李彪,2
唐僧,法明,6
唐僧,崔玨,1
唐僧,皇后,28
唐僧,广智,4
唐僧,广谋,6
唐僧,高才,14
唐僧,李四,2
唐僧,红三,2
唐僧,陈澄,10
唐僧,陈清,8
唐僧,寇洪,8
唐僧,寇梁,14
唐僧,殷开山,3
唐僧,玉华王,10
唐僧,刘小二,3
唐僧,刘伯钦,8
唐僧,高太公,8
唐僧,红百万,2
唐僧,一秤金,6
唐僧,陈关保,6
唐僧,王小二,2
唐僧,赵寡妇,2
唐僧,镇山太保,2
唐僧,镇殿将军,2
唐僧,净乐国王,2
唐僧,善胜皇后,2
唐僧,铜台府刺史,2
唐僧,舍卫国赵长者,2
唐僧,凤仙郡郡侯上官氏,2
唐僧,玉帝,58
唐僧,王母,18
唐僧,李靖,2
唐僧,哪吒,20
唐僧,嫦娥,12
唐僧,天官,2
唐僧,水官,2
唐僧,寿星,18
唐僧,福星,12
唐僧,禄星,4
唐僧,敖广,4
唐僧,敖顺,4
唐僧,敖闰,4
唐僧,观音,113
唐僧,仙翁,12
唐僧,太阴,6
唐僧,太阳,22
唐僧,左辅,2
唐僧,清风,54
唐僧,明月,44
唐僧,摩昂,2
唐僧,如来,129
唐僧,阿傩,14
唐僧,迦叶,2
唐僧,诸天,28
唐僧,判官,8
唐僧,力士,6
唐僧,土地,82
唐僧,城隍,14
唐僧,社令,2
唐僧,风伯,4
唐僧,雷公,50
唐僧,云童,4
唐僧,电母,2
唐僧,山神,24
唐僧,水神,4
唐僧,狮奴,4
唐僧,三清,6
唐僧,四帝,4
唐僧,三官,8
唐僧,三星,14
唐僧,四渎,4
唐僧,五岳,6
唐僧,虎精,8
唐僧,奎星,2
唐僧,羚羊,2
唐僧,金鱼,2
唐僧,青牛,4
唐僧,猴精,20
唐僧,龙婆,10
唐僧,松树,7
唐僧,枫树,1
唐僧,杏仙,4
唐僧,杏树,1
唐僧,丹桂,4
唐僧,腊梅,2
唐僧,柏树,3
唐僧,桧树,4
唐僧,竹竿,5
唐僧,蜜蜂,12
唐僧,蚂蜂,2
唐僧,班毛,2
唐僧,牛蜢,2
唐僧,抹蜡,2
唐僧,蜻蜓,12
唐僧,白象,2
唐僧,白鹿,12
唐僧,黄狮,6
唐僧,猱狮,6
唐僧,雪狮,6
唐僧,伏狸,4
唐僧,抟象,4
唐僧,牛魔王,18
唐僧,寅将军,4
唐僧,老虎精,2
唐僧,熊罴精,2
唐僧,特处士,4
唐僧,野牛精,2
唐僧,凌虚子,2
唐僧,黑大王,4
唐僧,黑熊精,2
唐僧,虎先锋,6
唐僧,黄风怪,6
唐僧,黄袍怪,2
唐僧,精细鬼,4
唐僧,伶俐虫,6
唐僧,巴山虎,4
唐僧,倚海龙,4
唐僧,云里雾,2
唐僧,雾里云,2
唐僧,急如火,2
唐僧,快如风,2
唐僧,兴烘掀,2
唐僧,掀烘兴,2
唐僧,小鼍龙,2
唐僧,黑鱼精,4
唐僧,假唐僧,16
唐僧,假八戒,4
唐僧,假沙僧,4
唐僧,鲇鱼怪,4
唐僧,九头虫,2
唐僧,孤直公,9
唐僧,凌空子,7
唐僧,拂云叟,8
唐僧,赛太岁,8
唐僧,蜘蛛精,8
唐僧,蜈蚣精,4
唐僧,小钻风,14
唐僧,青脸儿,4
唐僧,白衣秀士,4
唐僧,黄毛貂鼠,2
唐僧,白骨夫人,2
唐僧,金角大王,4
唐僧,银角大王,2
唐僧,青毛狮子,2
唐僧,善财童子,8
唐僧,虎力大仙,10
唐僧,鹿力大仙,6
唐僧,羊力大仙,2
唐僧,斑衣鳜婆,4
唐僧,灵感大王,2
唐僧,如意真仙,2
唐僧,六耳猕猴,2
唐僧,玉面公主,2
唐僧,万圣龙王,6
唐僧,奔波儿灞,4
唐僧,灞波儿奔,4
唐僧,万圣公主,2
唐僧,九头驸马,6
唐僧,赤身鬼使,2
唐僧,有来有去,2
唐僧,南山大王,4
唐僧,辟寒大王,4
唐僧,辟暑大王,2
唐僧,辟尘大王,6
唐僧,独角兕大王,2
唐僧,劲节十八公,1
唐僧,黄花观观主,2
唐僧,云程万里鹏,2
孙悟空,猪悟能,2676
孙悟空,铁扇公主,50
孙悟空,沙悟净,1426
孙悟空,白龙马,10
孙悟空,太宗,32
孙悟空,魏征,4
孙悟空,萧瑀,4
孙悟空,傅奕,2
孙悟空,樵夫,14
孙悟空,渔人,4
孙悟空,张氏,2
孙悟空,皇后,40
孙悟空,广智,2
孙悟空,广谋,4
孙悟空,高才,14
孙悟空,李四,4
孙悟空,红三,2
孙悟空,陈澄,16
孙悟空,陈清,16
孙悟空,寇洪,12
孙悟空,寇梁,12
孙悟空,张道源,2
孙悟空,张士衡,2
孙悟空,玉华王,12
孙悟空,刘伯钦,4
孙悟空,眼看喜,2
孙悟空,耳听怒,2
孙悟空,鼻嗅爱,2
孙悟空,舌尝思,2
孙悟空,意见欲,2
孙悟空,身本忧,2
孙悟空,高太公,8
孙悟空,红百万,2
孙悟空,一秤金,16
孙悟空,陈关保,10
孙悟空,王小二,12
孙悟空,赵寡妇,6
孙悟空,陈少保,2
孙悟空,宝象国王,4
孙悟空,镇殿将军,2
孙悟空,净乐国王,2
孙悟空,善胜皇后,2
孙悟空,金圣皇后,4
孙悟空,铜台府刺史,4
孙悟空,舍卫国赵长者,4
孙悟空,凤仙郡郡侯上官氏,2
孙悟空,玉帝,223
孙悟空,王母,42
孙悟空,李靖,3
孙悟空,哪吒,85
