CharacterA,CharacterB,Frequencies
高俅,蔡京,29
高俅,童贯,31
高俅,杨戬,28
高俅,朱武,1
高俅,鲁智深,2
高俅,李忠,1
高俅,林冲,10
高俅,柴进,5
高俅,杨志,3
高俅,索超,1
高俅,朱仝,4
高俅,雷横,2
高俅,刘唐,1
高俅,吴用,19
高俅,阮小七,4
高俅,公孙胜,4
高俅,白胜,2
高俅,曹正,1
高俅,宋江,51
高俅,宋清,4
高俅,张青,2
高俅,郑天寿,1
高俅,花荣,5
高俅,黄信,1
高俅,秦明,2
高俅,吕方,2
高俅,郭盛,2
高俅,李俊,3
高俅,童威,1
高俅,童猛,1
高俅,薛永,1
高俅,张横,3
高俅,穆春,1
高俅,戴宗,12
高俅,李逵,8
高俅,张顺,4
高俅,萧让,7
高俅,金大坚,1
高俅,欧鹏,2
高俅,蒋敬,1
高俅,马麟,2
高俅,李云,1
高俅,杨林,4
高俅,邓飞,2
高俅,裴宣,1
高俅,杨雄,4
高俅,石秀,4
高俅,杜兴,3
高俅,李应,2
高俅,扈三娘,1
高俅,解珍,1
高俅,解宝,1
高俅,乐和,6
高俅,顾大嫂,2
高俅,邹润,1
高俅,孙立,3
高俅,汤隆,1
高俅,呼延灼,2
高俅,凌振,1
高俅,樊瑞,2
高俅,项充,1
高俅,李衮,1
高俅,卢俊义,16
高俅,燕青,7
高俅,蔡庆,1
高俅,关胜,2
高俅,安道全,3
高俅,鲍旭,1
高俅,董平,2
高俅,张清,3
高俅,皇甫端,1
蔡京,童贯,38
蔡京,杨戬,20
蔡京,朱武,2
蔡京,柴进,3
蔡京,朱贵,2
蔡京,杨志,5
蔡京,朱仝,1
蔡京,吴用,14
蔡京,阮小二,1
蔡京,阮小七,2
蔡京,公孙胜,1
蔡京,宋江,31
蔡京,宋清,3
蔡京,花荣,3
蔡京,黄信,3
蔡京,石勇,1
蔡京,穆春,1
蔡京,戴宗,6
蔡京,李逵,10
蔡京,萧让,3
蔡京,金大坚,1
蔡京,蒋敬,1
